Type,Model,kH/s,C,M,V,W,Miner,Config,Notes (OS/TEMPS/DRIVERS/HARDWARE/FIRMWARE)
AMD GPU,"6850, HIS",255,885,1000,1.200 N,,bfgminer 3.2.1,-I 19,"Windows 7, Catalyst 13.9"
AMD GPU,6850,259,925,1025,,,Reaper v13 Beta,aggression 17 threads_per_gpu 2,
AMD GPU,6850,261,920,1100,,200,cgminer 2.11.4,-I 17 -w 128 --thread-concurrency 6144,
AMD GPU,6850,271,945,1005,,,Reaper v13 Beta,aggression 17 threads_per_gpu 2 worksize 128,
AMD GPU,"6850, HIS",275,1050,1050,,200,cgminer 2.11.4,-I 17 -g 2 -w 256 --thread-concurrency 3840,"Windows 7 x64, Catalyst 13.1, SDK 2.7, 66-73C, http://imgur.com/dIsYQDN"
AMD GPU,"6870, Sapphire",293,900,1050,,,cgminer 3.1.0,-I 15 -w 64 --thread-concurrency 6720,"Ubuntu Server 12.04 LTS x64, Catalyst 12.6, SDK 2.6"
AMD GPU,"6870, PowerColor",300,900,1150,,165,cgminer 3.0.0,-I 16 -g 1 -w 64 --thread-concurrency 6720,"Ubuntu 12.04 x64, Catalyst 11.1, SDK 2.5, 77-83C"
AMD GPU,"6870, HIS",311,900,1024,,,cgminer 3.7.2,-I 18 -w 128 -thread-concurrency 5600,"Windows 8.1, 75C"
AMD GPU,6870,320,900,800,,,cgminer,-I 19 -g 1 -w 256 --thread-concurrency 8192,"Gentoo x64, Catalyst 12.6, SDK 2.7"
AMD GPU,"6870, MSI",330,950,900,,,cgminer 3.1.0,-I 18 -w 128 --thread-concurrency 5600,"BAMT 1.1, 84C"
AMD GPU,"6870, 113-687AZNB-10",355,1050,1150,1.250 ?,,cgminer 2.7.5,-I 18 -g 1 -w 64 --thread-concurrency 6720,"Windows 7 x64, Catalyst 12.4, SDK 2.5, 77-83C"
AMD GPU,"6930, HIS",401,900,1000,1.070 ?,,cgminer 3.1.1,-I 18 -g 1 -w 256 --thread-concurrency 6400,"Windows 7 x64, 62C, Catalyst 13.9, SDK 2.5"
