Timestamp,miners-revenue
5/14/2011 0:00,48710.93025
5/17/2011 0:00,74200.51625
5/20/2011 0:00,96009.91482
5/23/2011 0:00,92375.38459
5/26/2011 0:00,90679.10047
5/29/2011 0:00,95958.31369
6/1/2011 0:00,85030.81065
6/4/2011 0:00,83749.85101
6/7/2011 0:00,135646.2332
6/10/2011 0:00,203566.9495
6/13/2011 0:00,297157.8626
6/16/2011 0:00,336764.1703
6/19/2011 0:00,251811.5269
6/22/2011 0:00,210785.188
6/25/2011 0:00,197533.2509
6/28/2011 0:00,169305.1614
7/1/2011 0:00,148217.2327
7/4/2011 0:00,148738.9666
7/7/2011 0:00,137372.3361
7/10/2011 0:00,122169.318
7/13/2011 0:00,115748.3101
7/16/2011 0:00,115192.0093
7/19/2011 0:00,116854.4052
7/22/2011 0:00,111925.2814
7/25/2011 0:00,108141.6386
7/28/2011 0:00,114786.4072
7/31/2011 0:00,117912.1581
8/3/2011 0:00,116485.6647
8/6/2011 0:00,105789.9481
8/9/2011 0:00,86451.47848
8/12/2011 0:00,78929.98499
8/15/2011 0:00,79343.52439
8/18/2011 0:00,82333.18305
8/21/2011 0:00,88792.18097
8/24/2011 0:00,102341.7141
8/27/2011 0:00,100867.672
8/30/2011 0:00,79383.20981
9/2/2011 0:00,66357.13001
9/5/2011 0:00,65831.60209
9/8/2011 0:00,64639.78587
9/11/2011 0:00,59730.1089
9/14/2011 0:00,52783.0878
9/17/2011 0:00,48408.89301
9/20/2011 0:00,44084.2656
9/23/2011 0:00,41001.77791
9/26/2011 0:00,41832.46586
9/29/2011 0:00,40255.04564
10/2/2011 0:00,36808.19159
10/5/2011 0:00,34818.78928
10/8/2011 0:00,39890.63783
10/11/2011 0:00,35794.19853
10/14/2011 0:00,30517.2845
10/17/2011 0:00,26659.04874
10/20/2011 0:00,25094.21839
10/23/2011 0:00,19588.49124
10/26/2011 0:00,17931.15324
10/29/2011 0:00,17681.40001
10/31/2011 23:00,19315.01771
11/3/2011 23:00,22100.99633
11/6/2011 23:00,25344.40034
11/9/2011 23:00,27977.46849
11/12/2011 23:00,27594.71053
11/15/2011 23:00,26607.83121
11/18/2011 23:00,22650.40511
11/21/2011 23:00,19056.44578
11/24/2011 23:00,18047.96776
11/27/2011 23:00,17683.71948
11/30/2011 23:00,18910.77106
12/3/2011 23:00,27321.41437
12/6/2011 23:00,33313.65836
12/9/2011 23:00,29811.17113
12/12/2011 23:00,25807.18098
12/15/2011 23:00,23421.92383
12/18/2011 23:00,23731.13314
12/21/2011 23:00,28047.60902
12/24/2011 23:00,34001.36284
12/27/2011 23:00,42319.1775
12/30/2011 23:00,40701.0178
1/2/2012 23:00,43399.90195
1/5/2012 23:00,47086.38034
1/8/2012 23:00,58777.92909
1/11/2012 23:00,65855.4325
1/14/2012 23:00,69187.01387
1/17/2012 23:00,71655.33851
1/20/2012 23:00,61336.78227
1/23/2012 23:00,59034.11671
1/26/2012 23:00,57645.71977
1/29/2012 23:00,57432.1476
2/1/2012 23:00,49184.05595
2/4/2012 23:00,51049.51499
2/7/2012 23:00,47249.10503
2/10/2012 23:00,45464.71824
2/13/2012 23:00,45206.68706
2/16/2012 23:00,42859.19361
2/19/2012 23:00,39808.24937
2/22/2012 23:00,36801.03891
2/25/2012 23:00,39009.14488
2/28/2012 23:00,43936.20817
3/2/2012 23:00,45518.05907
3/5/2012 23:00,38634.56128
3/8/2012 23:00,37941.3986
3/11/2012 23:00,43092.01321
3/14/2012 23:00,46752.32373
3/17/2012 23:00,45901.7273
