Name,#,market_cap,price
popularcoin,270,"$95,552.49",$0.000024
gravity,271,"$93,753.25",$0.000071
version,272,"$92,404.84",$0.000147
rupee,273,"$89,520.89",$0.002324
bitbar,274,"$87,446.89",$1.92
civitas,275,"$84,983.85",$0.011298
pesetacoin,276,"$79,674.96",$0.000565
bluecoin,277,"$79,341.99",$0.000138
putincoin,278,"$77,702.38",$0.000072
insanecoin,279,"$77,338.93",$0.003172
firstcoin,280,"$77,231.76",$0.002475
shield,281,"$74,271.56",$0.000145
deutscheemark,282,"$73,983.83",$0.001379
bitcoininterest,283,"$70,127.80",$0.003826
audiocoin,284,"$69,489.97",$0.000071
kzcash,285,"$68,804.19",$0.043993
parallelcoin,286,"$68,353.83",$0.217190
impleum,287,"$68,131.74",$0.009721
proxynode,288,"$67,688.01",$0.000419
megacoin,289,"$66,616.01",$0.001724
gentarium,290,"$62,404.56",$0.014617
kalkulus,291,"$61,580.81",$0.003516
carboncoin,292,"$58,643.61",$0.000004
peony,293,"$58,527.97",$0.021158
commercium,294,"$58,028.05",$0.001310
cryptonite,295,"$55,573.97",$0.000078
xdna,296,"$53,713.30",$0.009100
croat,297,"$53,588.95",$0.000689
ignition,298,"$53,386.20",$0.041588
tagcoin,299,"$52,946.71",$0.008229
ethergem,300,"$52,884.62",$0.002714
peng,301,"$52,459.29",$0.000007
gcncoin,302,"$51,441.64",$2.99e-7
globalboosty,303,"$50,742.37",$0.002827
iridium,304,"$50,086.78",$0.002473
vulcano,305,"$49,941.11",$0.000207
airwire,306,"$49,665.09",$0.000414
2give,307,"$49,010.21",$0.000094
supercoin,308,"$45,377.17",$0.000865
opcoinx,309,"$45,179.36",$0.000276
bitcash,310,"$43,834.68",$0.003660
aprcoin,311,"$41,246.01",$0.003378
devault,312,"$40,714.15",$0.000200
bata,313,"$40,302.29",$0.007977
zetacoin,314,"$40,200.09",$0.000234
advancedtechnologycoin,315,"$39,256.25",$0.001379
giant,316,"$38,899.26",$0.005226
arepacoin,317,"$38,897.24",$0.002295
niobiocash,318,"$38,831.36",$0.000276
cryptojacks,319,"$38,405.53",$0.000094
fiii,320,"$37,830.96",$0.000078
aricoin,321,"$37,452.18",$0.000276
globaltoken,322,"$35,510.04",$0.000357
kurrent,323,"$35,114.50",$0.000572
bitcoinzero,324,"$34,813.83",$0.001302
exosis,325,"$34,620.53",$0.093316
pwrcoin,326,"$33,493.16",$0.000003
arionum,327,"$33,004.03",$0.000207
